8630
16
7.495686923
7.495965856

0 1 1 26 522 5 (D 0,1,1) (D 0,1,13) (S 20,13,13) (S 44,13,13) (D 0,13,1)
0 1 2 94 418 5 (D 0,1,1) (D 0,1,47) (S 59,47,47) (S 66,47,47) (D 0,47,1)
0 1 3 11 374 4 (D 0,1,1) (D 0,1,11) (S 43,11,11) (D 0,11,1)
0 1 4 24 502 4 (D 0,1,1) (D 0,1,24) (S 41,24,24) (D 0,24,1)
0 1 5 19 512 4 (D 0,1,1) (D 0,1,19) (S 27,19,19) (D 0,19,1)
0 1 6 36 806 4 (D 0,1,1) (D 0,1,36) (S 40,36,36) (D 0,36,1)
0 1 7 41 532 4 (D 0,1,1) (D 0,1,41) (S 39,41,41) (D 0,41,1)
0 1 8 45 350 4 (D 0,1,1) (D 0,1,45) (S 52,45,45) (D 0,45,1)
0 1 9 17 600 4 (D 0,1,1) (D 0,1,17) (S 23,17,17) (D 0,17,1)
0 1 10 26 590 4 (D 0,1,1) (D 0,1,26) (S 58,26,26) (D 0,26,1)
0 1 11 50 452 4 (D 0,1,1) (D 0,1,50) (S 65,50,50) (D 0,50,1)
0 1 12 49 436 4 (D 0,1,1) (D 0,1,49) (S 50,49,49) (D 0,49,1)
0 1 13 102 820 6 (D 0,1,1) (D 0,1,34) (S 5,34,34) (S 9,34,34) (S 75,34,34) (D 0,34,1)
0 1 14 114 618 6 (D 0,1,1) (D 0,1,38) (S 32,38,38) (S 34,38,38) (S 72,38,38) (D 0,38,1)
0 1 15 80 550 5 (D 0,1,1) (D 0,1,40) (S 46,40,40) (S 60,40,40) (D 0,40,1)
0 1 16 45 548 6 (D 0,1,1) (D 0,1,15) (S 2,15,15) (S 22,15,15) (S 54,15,15) (D 0,15,1)
