15828
20
7.735696075
7.736115202

0 1 1 20 862 4 (D 0,1,1) (D 0,1,20) (S 27,20,20) (D 0,20,1)
0 1 2 19 858 4 (D 0,1,1) (D 0,1,19) (S 105,19,19) (D 0,19,1)
0 1 3 52 656 4 (D 0,1,1) (D 0,1,52) (S 25,52,52) (D 0,52,1)
0 1 4 56 548 4 (D 0,1,1) (D 0,1,56) (S 46,56,56) (D 0,56,1)
0 1 5 34 572 4 (D 0,1,1) (D 0,1,34) (S 22,34,34) (D 0,34,1)
0 1 6 93 402 4 (D 0,1,1) (D 0,1,93) (S 81,93,93) (D 0,93,1)
0 1 7 30 820 4 (D 0,1,1) (D 0,1,30) (S 87,30,30) (D 0,30,1)
0 1 8 25 860 4 (D 0,1,1) (D 0,1,25) (S 30,25,25) (D 0,25,1)
0 1 9 10 882 4 (D 0,1,1) (D 0,1,10) (S 69,10,10) (D 0,10,1)
0 1 10 24 880 4 (D 0,1,1) (D 0,1,24) (S 11,24,24) (D 0,24,1)
0 1 11 21 978 4 (D 0,1,1) (D 0,1,21) (S 36,21,21) (D 0,21,1)
0 1 12 22 882 4 (D 0,1,1) (D 0,1,22) (S 90,22,22) (D 0,22,1)
0 1 13 13 818 4 (D 0,1,1) (D 0,1,13) (S 104,13,13) (D 0,13,1)
0 1 14 46 966 5 (D 0,1,1) (D 0,1,23) (S 35,23,23) (S 133,23,23) (D 0,23,1)
0 1 15 28 854 5 (D 0,1,1) (D 0,1,14) (S 59,14,14) (S 122,14,14) (D 0,14,1)
0 1 16 80 842 8 (D 0,1,1) (D 0,1,16) (S 10,16,16) (S 109,16,16) (S 112,16,16) (S 135,16,16) (S 136,16,16) (D 0,16,1)
0 1 17 56 810 5 (D 0,1,1) (D 0,1,28) (S 14,28,28) (S 85,28,28) (D 0,28,1)
0 1 18 58 800 5 (D 0,1,1) (D 0,1,29) (S 16,29,29) (S 86,29,29) (D 0,29,1)
0 1 19 24 794 5 (D 0,1,1) (D 0,1,12) (S 21,12,12) (S 63,12,12) (D 0,12,1)
0 1 20 22 744 5 (D 0,1,1) (D 0,1,11) (S 6,11,11) (S 28,11,11) (D 0,11,1)
